,Subjects,Mass,Height
0,1.0,74.3,0.89
1,2.0,52.9,0.865
2,3.0,75.85,0.94
3,4.0,61.05,0.94
4,5.0,77.55,0.86
5,6.0,83.15,0.91
6,7.0,71.75,0.84
7,8.0,64.0,0.97
8,9.0,61.25,0.84
9,10.0,61.7,0.87
10,11.0,77.55,0.98
11,12.0,48.8,0.78
12,13.0,95.4,0.85
13,14.0,64.95,0.8
14,15.0,89.3,0.92
15,16.0,77.9,0.88
16,17.0,79.05,0.98
17,18.0,59.3,0.86
18,19.0,66.25,0.89
19,20.0,62.45,0.88
20,21.0,61.5,0.91
21,22.0,61.15,0.87
22,23.0,44.9,0.81
23,24.0,69.55,0.75
24,25.0,67.5,0.89
25,26.0,64.65,0.81
26,27.0,79.1,0.86
27,28.0,71.75,0.87
28,29.0,65.35,0.91
29,30.0,48.4,0.79
30,31.0,46.05,0.76
31,32.0,70.55,0.76
32,33.0,72.25,0.88
33,34.0,70.5,0.83
34,35.0,70.25,0.86
35,36.0,73.1,0.96
36,37.0,79.65,0.85
37,38.0,76.0,0.97
38,39.0,66.35,0.79
39,40.0,49.2,0.71
40,41.0,74.05,0.75
